,edition,application_type,application_number,product_number,exclusivity_code,exclusivity_expiration,active_ingredient,trade_name,observation_count
0,1985,N/A,004782,005,NS,1986-09-24,N/A,N/A,1
1,1985,N/A,007073,002,NDF,1986-09-24,N/A,N/A,1
2,1985,N/A,007413,002,NS,1986-09-24,N/A,N/A,1
3,1985,N/A,007936,001,I-3,1986-09-24,N/A,N/A,1
4,1985,N/A,010040,001,I-5,1986-09-24,N/A,N/A,1
5,1985,N/A,010040,006,I-8,1986-09-24,N/A,N/A,1
6,1985,N/A,010040,012,I-7,1986-09-24,N/A,N/A,1
7,1985,N/A,010040,012,I-8,1986-09-24,N/A,N/A,1
8,1985,N/A,010799,010,RTO,1986-09-24,N/A,N/A,1
9,1985,N/A,010799,011,RTO,1986-09-24,N/A,N/A,1
10,1985,N/A,011110,001,RTO,1986-09-24,N/A,N/A,1
11,1985,N/A,011496,001,RTO,1986-09-24,N/A,N/A,1
12,1985,N/A,011664,006,NS,1986-09-24,N/A,N/A,1
13,1985,N/A,011935,003,RTO,1986-09-24,N/A,N/A,1
14,1985,N/A,011936,002,RTO,1986-09-24,N/A,N/A,1
15,1985,N/A,012142,004,NS,1986-09-24,N/A,N/A,1
16,1985,N/A,012142,005,NS,1986-09-24,N/A,N/A,1
17,1985,N/A,012394,001,RTO,1986-09-24,N/A,N/A,1
18,1985,N/A,012885,001,I-28,1986-09-24,N/A,N/A,1
19,1985,N/A,013483,003,RTO,1986-09-24,N/A,N/A,1
20,1985,N/A,013483,004,RTO,1986-09-24,N/A,N/A,1
21,1985,N/A,014399,007,NS,1986-09-24,N/A,N/A,1
22,1985,N/A,015921,006,NS,1986-09-24,N/A,N/A,1
23,1985,N/A,016019,001,I-23,1986-09-24,N/A,N/A,1
24,1985,N/A,016418,001,I-10,1986-09-24,N/A,N/A,1
25,1985,N/A,016418,002,I-10,1986-09-24,N/A,N/A,1
26,1985,N/A,016418,003,I-10,1986-09-24,N/A,N/A,1
27,1985,N/A,016418,004,I-10,1986-09-24,N/A,N/A,1
28,1985,N/A,016418,009,I-10,1986-09-24,N/A,N/A,1
29,1985,N/A,016418,009,NS,1986-09-24,N/A,N/A,1
30,1985,N/A,016418,010,I-10,1986-09-24,N/A,N/A,1
31,1985,N/A,016418,010,NS,1986-09-24,N/A,N/A,1
32,1985,N/A,016618,003,NDF,1986-09-24,N/A,N/A,1
33,1985,N/A,016636,001,D-10,1986-09-24,N/A,N/A,1
34,1985,N/A,016636,001,D-11,1986-09-24,N/A,N/A,1
35,1985,N/A,016636,001,D-9,1986-09-24,N/A,N/A,1
36,1985,N/A,016636,001,I-33,1986-09-24,N/A,N/A,1
37,1985,N/A,016636,003,D-10,1986-09-24,N/A,N/A,1
38,1985,N/A,016636,003,D-11,1986-09-24,N/A,N/A,1
39,1985,N/A,016636,003,D-9,1986-09-24,N/A,N/A,1
40,1985,N/A,016636,003,I-33,1986-09-24,N/A,N/A,1
41,1985,N/A,016636,003,NS,1986-09-24,N/A,N/A,1
42,1985,N/A,016640,001,I-23,1986-09-24,N/A,N/A,1
43,1985,N/A,016792,003,NS,1986-09-24,N/A,N/A,1
44,1985,N/A,016822,006,NS,1986-09-24,N/A,N/A,1
45,1985,N/A,016990,001,I-22,1986-09-24,N/A,N/A,1
46,1985,N/A,016996,001,I-1,1986-09-24,N/A,N/A,1
47,1985,N/A,017339,001,I-31,1986-09-24,N/A,N/A,1
48,1985,N/A,017351,001,NDF,1986-09-24,N/A,N/A,1
49,1985,N/A,017463,002,I-2,1986-09-24,N/A,N/A,1
50,1985,N/A,017463,003,I-2,1986-09-24,N/A,N/A,1
51,1985,N/A,017463,004,I-2,1986-09-24,N/A,N/A,1
52,1985,N/A,017473,001,NCE,1994-07-31,N/A,N/A,1
53,1985,N/A,017493,007,NS,1986-09-24,N/A,N/A,1
54,1985,N/A,017497,001,I-18,1987-12-21,N/A,N/A,1
55,1985,N/A,017498,001,NCE,1994-05-01,N/A,N/A,1
56,1985,N/A,017498,002,NCE,1994-05-01,N/A,N/A,1
57,1985,N/A,017498,003,NCE,1994-05-01,N/A,N/A,1
58,1985,N/A,017532,001,NCE,1994-05-01,N/A,N/A,1
59,1985,N/A,017532,002,NCE,1994-05-01,N/A,N/A,1
60,1985,N/A,017532,003,NCE,1994-05-01,N/A,N/A,1
61,1985,N/A,017536,001,D-1,1986-09-24,N/A,N/A,1
62,1985,N/A,017543,003,NS,1986-09-24,N/A,N/A,1
63,1985,N/A,017559,001,I-22,1986-09-24,N/A,N/A,1
64,1985,N/A,017560,001,I-21,1986-09-24,N/A,N/A,1
65,1985,N/A,017560,002,I-21,1986-09-24,N/A,N/A,1
66,1985,N/A,017563,001,I-24,1986-09-24,N/A,N/A,1
67,1985,N/A,017563,002,I-24,1986-09-24,N/A,N/A,1
68,1985,N/A,017581,001,NS,1986-09-24,N/A,N/A,1
69,1985,N/A,017581,004,NS,1986-09-24,N/A,N/A,1
70,1985,N/A,017637,002,NC,1986-09-24,N/A,N/A,1
71,1985,N/A,017680,001,I-9,1986-09-24,N/A,N/A,1
72,1985,N/A,017691,001,D-1,1986-09-24,N/A,N/A,1
73,1985,N/A,017694,001,I-30,1986-09-24,N/A,N/A,1
74,1985,N/A,017707,001,NCE,1992-02-18,N/A,N/A,1
75,1985,N/A,017726,002,NS,1986-09-24,N/A,N/A,1
76,1985,N/A,017769,001,I-18,1987-12-21,N/A,N/A,1
77,1985,N/A,017781,001,D-1,1986-09-24,N/A,N/A,1
78,1985,N/A,017783,001,NCE,1994-05-08,N/A,N/A,1
79,1985,N/A,017783,002,NCE,1994-05-08,N/A,N/A,1
80,1985,N/A,017813,001,NDF,1986-09-24,N/A,N/A,1
81,1985,N/A,017814,001,NDF,1986-09-24,N/A,N/A,1
82,1985,N/A,017829,001,D-1,1986-09-24,N/A,N/A,1
83,1985,N/A,017831,002,NS,1986-09-24,N/A,N/A,1
84,1985,N/A,017851,003,NS,1986-09-24,N/A,N/A,1
85,1985,N/A,017853,001,NE,1986-09-24,N/A,N/A,1
86,1985,N/A,017853,002,NE,1986-09-24,N/A,N/A,1
87,1985,N/A,017854,001,I-4,1986-09-24,N/A,N/A,1
88,1985,N/A,017862,001,I-12,1986-09-24,N/A,N/A,1
89,1985,N/A,017862,001,I-13,1986-09-24,N/A,N/A,1
