,exclusivity_code,exclusivity_code_desc,edition
0,NS,NEW STRENGTH,1985
1,NCE,NEW CHEMICAL ENTITY,1985
2,PP,PARENTERAL IN PLASTIC CONTAINER,1985
3,NE,NEW ESTER OR SALT OF AN ACTIVE INGREDIENT,1985
4,NR,NEW ROUTE,1985
5,I,"NEW INDICATION (SEE REFERENCE, BELOW)",1985
6,NDF,NEW DOSAGE FORM,1985
7,NC,NEW COMBINATION,1985
8,RTO,PRESCRIPTION TO OTC STATUS CHANGE,1985
9,D,"NEW DOSING SCHEDULE (SEE REFERENCE, BELOW)",1985
10,NP,NEW PRODUCT,1985
11,D-1,ONCE A DAY APPLICATION,1985
12,D-2,ONCE DAILY DOSING,1985
13,D-3,SEVEN DAYS/SEVEN DAYS/SEVEN DAYS DOSING SCHEDULE,1985
14,D-4,SEVEN DAYS/FOURTEEN DAYS DOSING SCHEDULE,1985
15,D-5,TEN DAYS/ELEVEN DAYS DOSING SCHEDULE,1985
16,D-6,SEVEN DAYS/NINE DAYS/FIVE DAYS DOSING SCHEDULE,1985
17,D-7,BID DOSING,1985
18,D-8,"INTRAVENOUS, EPIDURAL AND INTRATHECAL DOSING",1985
19,D-9,NARCOTIC OVERDOSE IN ADULTS,1985
20,D-10,NARCOTIC OVERDOSE IN CHILDREN,1985
21,D-11,POSTPOPERATIVE NARCOTIC DEPRESSION IN CHILDREN,1985
22,I-1,SEVERE HYPERTENSION IN PEDIATRICS AND NON-MALIGNANT HYPERTENSION,1985
23,I-2,DYSMENORRHEA,1985
24,I-3,TREATMENT OF TINEA VERSICOLOR,1985
25,I-4,SYMPTOMATIC GASTROESOPHAGEAL REFLUX,1985
26,I-5,NEPHROTOMOGRAPHY,1985
27,I-6,CONTRAST ENHANCEMENT IN CRANIAL COMPUTED TOMOGRAPHY,1985
28,I-7,VENOGRAPHY OF LOWER EXTREMITIES,1985
29,I-8,WHOLE-BODY COMPUTED TOMOGRAPHY,1985
30,I-9,GATED CARDIAC POOL IMAGING,1985
31,I-10,POST-MYOCARDIAL INFARCTION,1985
32,I-11,COLORECTAL SURGERY,1985
33,I-12,NAUSEA AND VOMITING ASSOCIATED WITH EMETOGENIC CANCER CHEMOTHERAPY,1985
34,I-13,CISPLATIN INDUCED EMESIS,1985
35,I-14,DIABETIC GASTROPARESIS,1985
36,I-15,SHORT TERM TREATMENT OF GASTRIC ULCER DISEASE,1985
37,I-16,ACROMEGALY,1985
38,I-17,PITUITARY TUMORS,1985
39,I-18,POSTMENOPAUSAL OSTEOPOROSIS,1985
40,I-19,ANTIDOTE FOR ACETAMINOPHEN OVERDOSAGE,1985
41,I-20,CONGESTIVE HEART FAILURE BID DOSAGE SCHEDULE,1985
42,I-21,ACUTE OTITIS MEDIA,1985
43,I-22,EXERCISE INDUCED BRONCHOSPASMS,1985
44,I-23,MI OR STROKE,1985
45,I-24,COMBINED USE WITH NICOTINIC ACID TO LOWER CHOLESTEROL LEVEL,1985
46,I-25,BLASTOMYCOSES DERMATITIDES,1985
47,I-26,PEDIATRIC SUBARACHNOID VASCULAR,1985
48,I-27,PETRIELLIDIUM BOYDII INFECTION,1985
49,I-28,HEREDITARY ANGIOEDEMA,1985
50,I-29,INTRACORONARY USE,1985
51,I-30,PEDIATRIC USE,1985
52,I-31,DIRECT ISOTOPIC CYSTOGRAPHY,1985
53,I-32,POSTPARTUM HEMORRHAGE,1985
54,I-33,USE IN METHODONE INDUCED RESPIRATORY DEPRESSION,1985
55,I-34,PROLACTIN SECRETING ADENOMAS,1985
56,NC,NEW COMBINATION,1987
57,PP,PARENTERAL IN PLASTIC CONTAINER,1987
58,NP,NEW PRODUCT,1987
59,RTO,PRESCRIPTION TO OTC STATUS CHANGE,1987
60,D,"NEW DOSING SHEDULE (SEE REFERENCE, BELOW)",1987
61,NS,NEW STRENGTH,1987
62,NR,NEW ROUTE,1987
63,NCE,NEW CHEMICAL ENTITY,1987
64,I,"NEW INDICATION (SEE REFERENCE, BELOW)",1987
65,NE,NEW ESTER OR SALT OF AN ACTIVE INGREDIENT,1987
66,NDF,NEW DOSAGE FORM,1987
67,ODE,ORPHAN DRUG EXCLUSIVITY,1987
68,D-1,ONCE A DAY APPLICATION,1987
69,D-2,ONCE DAILY DOSING,1987
70,D-3,SEVEN DAYS/SEVEN DAYS/SEVEN DAYS DOSING SCHEDULE,1987
71,D-4,SEVEN DAYS/FOURTEEN DAYS DOSING SCHEDULE,1987
72,D-5,TEN DAYS/ELEVEN DAYS DOSING SCHEDULE,1987
73,D-6,SEVEN DAYS/NINE DAYS/FIVE DAYS DOSING SCHEDULE,1987
74,D-7,BID DOSING,1987
75,D-8,"INTRAVENOUS, EPIDURAL AND INTRATHECAL DOSING",1987
76,D-9,NARCOTIC OVERDOSE IN ADULTS,1987
77,D-10,NARCOTIC OVERDOSE IN CHILDREN,1987
78,D-11,POSTOPERATIVE NARCOTIC DEPRESSION IN CHILDREN,1987
79,D-12,BEDTIME DOSING OF 800MG FOR TREATMENT,1987
80,I-1,SEVERE HYPERTENSION IN PEDIATRICS AND NON-MALIGNANT HYPERTENSION,1987
81,I-2,DYSMENORRHEA,1987
82,I-3,TREATMENT OF TINEA VERSICOLOR,1987
83,I-4,SYMPTOMATIC GASTROESOPHAGEAL REFLUX,1987
84,I-5,NEPHROTOMOGRAPHY,1987
85,I-6,CONTRAST ENHANCEMENT IN CRANIAL COMPUTED TOMOGRAPHY,1987
86,I-7,VENOGRAPHY OF LOWER EXTREMITIES,1987
87,I-8,WHOLE-BODY COMPUTED TOMOGRAPHY,1987
88,I-9,GATED CARDIAC POOL IMAGING,1987
89,I-10,POST-MYOCARDIAL INFARCTION,1987
90,I-11,COLORECTAL SURGERY,1987
91,I-12,NAUSEA AND VOMITING ASSOCIATED WITH EMETOGENIC CANCER CHEMOTHERAPY,1987
92,I-13,CISPLATIN INDUCED EMESIS,1987
93,I-14,DIABETIC GASTROPARESIS,1987
94,I-15,SHORT TERM TREATMENT OF GASTRIC ULCER DISEASE,1987
95,I-16,ACROMEGALY,1987
96,I-17,PITUITARY TUMORS,1987
97,I-18,POSTMENOPAUSAL OSTEOPOROSIS,1987
98,I-19,ANTIDOTE FOR ACETAMINOPHEN OVERDOSAGE,1987
99,I-20,CONGESTIVE HEART FAILURE BID DOSAGE SCHEDULE,1987
100,I-21,ACUTE OTITIS MEDIA,1987
101,I-22,EXERCISE INDUCED BRONCOSPASMS,1987
102,I-23,MYOCARDIAL INFARCTION OR STROKE,1987
103,I-24,COMBINED USE WITH NICOTINIC ACID TO LOWER CHOLESTEROL LEVEL,1987
104,I-25,BLASTOMYCOSES DERMATITIDIS,1987
105,I-26,PEDIATRIC SUBARACHNOID VASCULAR,1987
106,I-27,PETRIELLIDIUM BOYDII INFECTION,1987
107,I-28,HEREDITARY ANGIOEDEMA,1987
108,I-29,INTRACORONARY USE,1987
109,I-30,PEDIATRIC USE,1987
110,I-31,DIRECT ISOTOPIC CYSTOGRAPHY,1987
111,I-32,POSTPARTUM HEMORRHAGE,1987
112,I-33,USE IN METHODONE INDUCED RESPIRATORY DEPRESSION,1987
113,I-34,PROLACTIN SECRETING ADENOMAS,1987
114,I-35,ANGINA PECTORIS DUE TO CORONARY ATHEROSCLEROSIS,1987
115,I-36,ARTERIAL DIGITAL SUBTRACTION ANGIOGRAPHY,1987
116,I-37,SPINAL ANESTHESIA,1987
117,I-38,PATIENT PREOPERATIVE SKIN PREPARATION,1987
118,I-39,ADJUVANT WITH CHEMOTHERAPY FOR TREATMENT OF BREAST CANCER FOLLOWING MASTECTOMY,1987
119,I-40,ANTIDOTE FOR ACETAMINOPHEN OVERDOSE,1987
120,I-41,MANAGEMENT OF HYPOCALCEMIA AND RESULTANT METABOLIC BONE DISEASE IN RENAL DIALYSIS PATIENTS,1987
121,I-42,MAINTENANCE THERAPY AT REDUCED DOSE FOLLOWING HEALING OF ACUTE DUODENAL ULCER,1987
122,I-43,TREATMENT OF GASTROESOPHAGEAL REFLUX DISEASE,1987
123,I-44,TREATMENT OF SEVERE RECALCITRANT DERMATOPHYTE INFECTIONS,1987
124,I-45,ACCELERATE BARIUM TRANSIT THEREBY DECREASING TIME AND EXTENT OF RADIATION TO INTESTINAL TRACT,1987
125,I-46,TREATMENT OF SMALL CELL LUNG CANCER IN COMBINATION WITH OTHER APPROVED CHEMOTHERAPEUTIC DRUGS,1987
126,I-47,USE IN BALANCED ANESTHESIA,1987
127,I-48,MANAGEMENT OF FAMILIAL OR HEREDITARY ESSENTIAL TREMOR,1987
128,I-49,ADJUNCT TO COUMARIN ANTICOAGULANTS IN PREVENTION OF POSTOPERATIVE THROMBOEMBOLIC COMPLICATIONS OF CARDIAC VALVE REPLACEMENTS,1987
129,I-50,TREATMENT OF ARRHYTHMIAS,1987
130,I-51,MANAGEMENT OF ESSENTIAL HYPERTENSION,1987
131,I-52,CERVICAL MYELOGRAPHY,1987
132,I-53,USE AS SINGLE AGENT TO DELAY BREAST CANCER RECURRENCE FOLLOWING TOTAL MASTECTOMY AND AXILLARY DISSECTION IN POSTMENOPAUSAL WOMEN,1987
133,NE,NEW ESTER OR SALT OF AN ACTIVE INGREDIENT,1988
134,NCE,NEW CHEMICAL ENTITY,1988
135,NR,NEW ROUTE,1988
136,PC,PATENT CHALLENGE,1988
137,NS,NEW STRENGTH,1988
138,I,"NEW INDICATION (SEE REFERENCES, BELOW)",1988
139,NDF,NEW DOSAGE FORM,1988
140,NC,NEW COMBINATION,1988
141,ODE,ORPHAN DRUG EXCLUSIVITY,1988
142,D,"NEW DOSING SCHEDULE (SEE REFERENCES, BELOW)",1988
143,NP,NEW PRODUCT,1988
144,D-1,ONCE A DAY APPLICATION,1988
145,D-2,ONCE DAILY DOSING,1988
146,D-3,SEVEN DAYS/SEVEN DAYS/SEVEN DAYS DOSING SCHEDULE,1988
147,D-4,SEVEN DAYS/FOURTEEN DAYS DOSING SCHEDULE,1988
148,D-5,TEN DAYS/ELEVEN DAYS DOSING SCHEDULE,1988
149,D-6,SEVEN DAYS/NINE DAYS/FIVE DAYS DOSING SCHEDULE,1988
150,D-7,BID DOSING,1988
151,D-8,"INTRAVENOUS, EPIDURAL AND INTRATHECAL DOSING",1988
152,D-9,NARCOTIC OVERDOSE IN ADULTS,1988
153,D-10,NARCOTIC OVERDOSE IN CHILDREN,1988
154,D-11,POSTOPERATIVE NARCOTIC DEPRESSION IN CHILDREN,1988
155,D-12,BEDTIME DOSING OF 800MG FOR TREATMENT,1988
156,D-13,INCREASED MAXIMUM DAILY DOSAGE RECOMMENDATION,1988
157,I-1,SEVERE HYPERTENSION IN PEDIATRICS AND NONMALIGNANT HYPERTENSION,1988
158,I-2,DYSMENORRHEA,1988
159,I-3,TREATMENT OF TINEA VERSICOLOR,1988
160,I-4,SYMPTOMATIC GASTROESOPHAGEAL REFLUX,1988
161,I-5,NEPHROTOMOGRAPHY,1988
162,I-6,CONTRAST ENHANCEMENT IN CRANIAL COMPUTED TOMOGRAPHY,1988
163,I-7,VENOGRAPHY OF LOWER EXTREMITIES,1988
164,I-8,WHOLE-BODY COMPUTED TOMOGRAPHY,1988
165,I-9,GATED CARDIAC POOL IMAGING,1988
166,I-10,POST-MYOCARDIAL INFARCTION,1988
167,I-11,COLORECTAL SURGERY,1988
168,I-12,NAUSEA AND VOMITING ASSOCIATED WITH EMETOGENIC CANCER CHEMOTHERAPY,1988
169,I-13,CISPLATIN-INDUCED EMESIS,1988
170,I-14,DIABETIC GASTROPARESIS,1988
171,I-15,SHORT-TERM TREATMENT OF GASTRIC ULCER DISEASE,1988
172,I-16,ACROMEGALY,1988
173,I-17,PITUITARY TUMORS,1988
174,I-18,POSTMENOPAUSAL OSTEOPOROSIS,1988
175,I-19,ANTIDOTE FOR ACETAMINOPHEN OVERDOSAGE,1988
176,I-20,CONGESTIVE HEART FAILURE BID DOSAGE SCHEDULE,1988
177,I-21,ACUTE OTITIS MEDIA,1988
178,I-22,EXERCISE-INDUCED BRONCHOSPASMS,1988
179,I-23,MYOCARDIAL INFARCTION OR STROKE,1988
180,I-24,COMBINED USE WITH NICOTINIC ACID TO LOWER CHOLESTEROL LEVEL,1988
181,I-25,BLASTOMYCOSES DERMATITIDIS,1988
182,I-26,PEDIATRIC SUBARACHNOID VASCULAR,1988
183,I-27,PETRIELLIDIUM BOYDII INFECTION,1988
184,I-28,HEREDITARY ANGIOEDEMA,1988
185,I-29,INTRACORONARY USE,1988
186,I-30,PEDIATRIC USE,1988
187,I-31,DIRECT ISOTOPIC CYSTOGRAPHY,1988
188,I-32,POSTPARTUM HEMORRHAGE,1988
189,I-33,USE IN METHADONE-INDUCED RESPIRATORY DEPRESSION,1988
190,I-34,PROLACTIN SECRETING ADENOMAS,1988
191,I-35,ANGINA PECTORIS DUE TO CORONARY ATHEROSCLEROSIS,1988
192,I-36,ARTERIAL DIGITAL SUBTRACTION ANGIOGRAPHY,1988
193,I-37,SPINAL ANESTHESIA,1988
194,I-38,PATIENT PREOPERATIVE SKIN PREPARATION,1988
195,I-39,ADJUVANT WITH CHEMOTHERAPY FOR TREATMENT OF BREAST CANCER FOLLOWING MASTECTOMY,1988
196,I-40,ANTIDOTE FOR ACETAMINOPHEN OVERDOSE,1988
197,I-41,MANAGEMENT OF HYPOCALCEMIA AND RESULTANT METABOLIC BONE DISEASE IN RENAL DIALYSIS PATIENTS,1988
198,I-42,MAINTENANCE THERAPY AT REDUCED DOSE FOLLOWING HEALING OF ACUTE DUODENAL ULCER,1988
199,I-43,TREATMENT OF GASTROESOPHAGEAL REFLUX DISEASE,1988
200,I-44,TREATMENT OF SEVERE RECALCITRANT DERMATOPHYTE INFECTIONS,1988
201,I-45,ACCELERATE BARIUM TRANSIT THEREBY DECREASING TIME AND EXTENT OF RADIATION TO INTESTINAL TRACT,1988
202,I-46,TREATMENT OF SMALL CELL LUNG CANCER IN COMBINATION WITH OTHER APPROVED CHEMOTHERAPEUTIC DRUGS,1988
203,I-47,USE IN BALANCED ANESTHESIA,1988
204,I-48,MANAGEMENT OF FAMILIAL OR HEREDITARY ESSENTIAL TREMOR,1988
205,I-49,ADJUNCT TO COUMARIN ANTICOAGULANTS IN PREVENTION OF POSTOPERATIVE THROMBOEMBOLIC COMPLICATIONS OF CARDIAC VALVE REPLACEMENTS,1988
206,I-50,TREATMENT OF ARRHYTHMIAS,1988
207,I-51,MANAGEMENT OF ESSENTIAL HYPERTENSION,1988
208,I-52,CERVICAL MYELOGRAPHY,1988
209,I-53,USE AS SINGLE AGENT TO DELAY BREAST CANCER RECURRENCE FOLLOWING TOTAL MASTECTOMY AND AXILLARY DISSECTION IN POSTMENOPAUSAL WOMEN,1988
210,I-54,CONTRAST ENHANCEMENT OF COMPUTED TOMOGRAPHIC BODY IMAGING,1988
211,I-55,PEDIATRIC ANGIOCARDIOGRAPHY,1988
