,use_code,use_code_desc,edition
0,U,PATENT USE CODE,1988
1,U-1,PREVENTION OF PREGNANCY,1988
2,U-2,CYCLIC CONTROL,1988
3,U-3,"TREATMENT OF AMENORRHEA, DYSMENORRHEA, AND FUNCTIONAL UTERINE BLEEDING",1988
4,U-4,TREATMENT OR PROPHYLAXIS OF ANGINA PECTORIS AND ARRHYTHMIA,1988
5,U-5,TREATMENT OF HYPERTENSION,1988
6,U-6,TREATING MAMMALS SUFFERING [FROM] ANXIETY,1988
7,U-7,PROVIDING PREVENTION AND TREATMENT OF EMESIS AND NAUSEA IN MAMMALS,1988
8,U-8,REDUCING INTRAVASCULAR PRESSURE IN MAMMALS,1988
9,U-9,METHOD OF PRODUCING BRONCHODILATION,1988
10,U-10,METHOD OF PRODUCING SYMPATHOMIMETIC EFFECTS,1988
11,U-11,INCREASING CARDIAC CONTRACTILITY,1988
12,U-12,TREATMENT OF BURNS,1988
13,U-13,CONTROL OF EMESIS ASSOCIATED WITH ANY CANCER CHEMOTHERAPY AGENT,1988
14,U-14,TREATMENT OF STRESS-INDUCED DEPRESSION,1988
15,U-15,DIAGNOSTIC METHOD FOR DISTINGUISHING BETWEEN HYPOTHALMIC MALFUNCTIONS OR LESIONS IN HUMANS,1988
16,U-16,TREATMENT OR PROPHYLAXIS OF CARDIAC DISORDERS,1988
17,U-17,METHOD FOR TREATMENT OF HERPETIC INFECTIONS,1988
18,U-18,METHOD OF TREATING [A] HUMAN SUFFERING FROM DEPRESSION,1988
19,U-19,PROCESS FOR PRODUCING ANALGESIA OR REDUCING HYPERALGESIA IN AN ANIMAL,1988
20,U-20,USE OF FLUOXETINE AND MORPHINE FOR PRODUCING ANALGESIA OR REDUCING HYPERALGESIA IN AN ANIMAL,1988
21,U-21,USING FLUOXETINE AND L-5-HYDROXTRYPTOPHANE IN A METHOD FOR LOWERING BLOOD PRESSURE IN A HYPERTENSIVE MAMMAL IN NEED OF TREATMENT,1988
22,U-22,A METHOD FOR TREATING ANXIETY IN A HUMAN SUBJECT IN NEED OF SUCH TREATMENT,1988
23,U-23,A METHOD OF POTENTIATING DEXTROPROPOXYPHENE ANALGESIA IN MAMMALS,1988
24,U-24,ADJUNCTIVE THERAPY FOR THE PREVENTION AND TREATMENT OF HYPERAMMONEMIA IN THE CHRONIC MANAGEMENT OF PATIENTS WITH UREA CYCLE ENZYMOPATHIES,1988
25,U-25,METHOD OF LOWERING INTRAOCULAR PRESSURE,1988
26,U,"PATENT USE CODE (SEE REFERENCES, BELOW)",1989
27,U-1,PREVENTION OF PREGNANCY,1989
28,U-2,CYCLIC CONTROL,1989
29,U-3,"TREATMENT OF AMENORRHEA, DYSMENORRHEA, AND FUNCTIONAL UTERINE BLEEDING",1989
30,U-4,TREATMENT OR PROPHYLAXIS OF ANGINA PECTORIS AND ARRHYTHMIA,1989
31,U-5,TREATMENT OF HYPERTENSION,1989
32,U-6,"TREATING MAMMALS, SUFFERING [FROM] ANXIETY",1989
33,U-7,PROVIDING PREVENTION AND TREATMENT OF EMESIS AND NAUSEA IN MAMMALS,1989
34,U-8,REDUCING INTRAVASCULAR PRESSURE IN MAMMALS,1989
35,U-9,METHOD OF PRODUCING BRONCHODILATION,1989
36,U-10,METHOD OF PRODUCING SYMPATHOMIMETIC EFFECTS,1989
37,U-11,INCREASING CARDIAC CONTRACTILITY,1989
38,U-12,TREATMENT OF BURNS,1989
39,U-13,CONTROL OF EMESIS ASSOCIATED WITH ANY CANCER CHEMOTHERAPY AGENT,1989
40,U-14,TREATMENT OF STRESS-INDUCED DEPRESSION,1989
41,U-15,DIAGNOSTIC METHOD FOR DISTINGUISHING BETWEEN HYPOTHALMIC MALFUNCTIONS OR LESIONS IN HUMANS,1989
42,U-16,TREATMENT OR PROPHYLAXIS OF CARDIAC DISORDERS,1989
43,U-17,METHOD FOR TREATMENT OF HERPETIC INFECTIONS,1989
44,U-18,METHOD OF TREATING [A] HUMAN SUFFERING FROM DEPRESSION,1989
45,U-19,PROCESS FOR PRODUCING ANALGESIA OR REDUCING HYPERALGESIA IN AN ANIMAL,1989
46,U-20,USE OF FLUOXETINE AND MORPHINE FOR PRODUCING ANALGESIA OR REDUCING HYPERALGESIA IN AN ANIMAL,1989
47,U-21,USING FLUOXETINE AND L-5-HYDROXTRYPTOPHANE IN A METHOD FOR LOWERING BLOOD PRESSURE IN A HYPERTENSIVE MAMMAL IN NEED OF TREATMENT,1989
48,U-22,A METHOD FOR TREATING ANXIETY IN A HUMAN SUBJECT IN NEED OF SUCH TREATMENT,1989
49,U-23,A METHOD OF POTENTIATING DEXTROPROPOXYPHENE ANALGESIA IN MAMMALS,1989
50,U-24,ADJUNCTIVE THERAPY FOR THE PREVENTION AND TREATMENT OF HYPERAMMONEMIA IN THE CHRONIC MANAGEMENT OF PATIENTS WITH UREA CYCLE ENZYMOPATHIES,1989
51,U-25,METHOD OF LOWERING INTRAOCULAR PRESSURE,1989
52,U-26,METHOD OF TREATING ANIMALS SUFFERING FROM AN APPETITE DISORDER,1989
53,U-27,METHOD OF BLOCKING THE UPTAKE OF MONOAMINES BY BRAIN NEURONS IN ANIMALS,1989
54,U-28,METHOD FOR IMPROVING MEMORY IN MAMMALS,1989
55,U-29,METHOD FOR TREATING AMNESIA,1989
56,U-30,METHOD OF POTENTIATING CODEINE ANALGESIA IN MAMMALS,1989
57,U-31,USE IN LUNG SCANNING PROCEDURES,1989
58,U-32,TREATMENT OF VENTRICULAR AND SUPRAVENTRICULAR ARRHYTHMIAS,1989
59,U-33,METHOD FOR INHIBITING GASTRIC SECRETION IN MAMMALS,1989
60,U-34,TREATMENT OF INFLAMMATION,1989
